country;region;health_index;obese_rate;suicide_rate;democracies_rate;hdr_rate;life_Exp;gpi;iq_rate;Deaths per 1,000 live births;gdp_usd;Ipc;life_lvl
Belarus;C.W. OF IND. STATES;439;NaN;212;241;823;73246;2259;1016;219;6430;NaN;High
Cuba;LATIN AMER. & CARIB;305;246;145;259;783;78155;2083;839;408;7999;NaN;Middle
Uzbekistan;C.W. OF IND. STATES;39;166;NaN;212;72;71674;2001;8901;1246;1730;NaN;Low
Norway;WESTERN EUROPE;602;231;118;975;957;83393;1465;9713;NaN;66650;126;High
Singapore;ASIA (EX. NEAR EAST);574;61;112;623;938;84133;1326;10589;185;57782;110;High
Netherlands;WESTERN EUROPE;647;204;118;888;NaN;82451;1522;10074;358;51989;128;NaN
Germany;NaN;655;223;123;867;947;NaN;1462;10074;31;46100;122;High
South korea;ASIA (EX. NEAR EAST);654;47;286;816;916;84024;NaN;10235;259;31617;109;High
New Zealand;OCEANIA;625;308;11;937;931;83006;1269;NaN;393;40634;1186;High
Iceland;WESTERN EUROPE;NaN;219;119;918;949;82815;1107;9826;NaN;57992;559;High
Australia;OCEANIA;711;29;125;89;944;83579;1565;9924;314;NaN;128;High
France;WESTERN EUROPE;619;216;138;799;901;83229;1895;9669;345;40571;NaN;High
Canada;NORTHERN AMERICA;698;294;118;887;929;82847;1389;9952;438;42789;154;NaN
Italy;WESTERN EUROPE;519;199;67;NaN;892;84057;1643;9423;247;32031;118;High
Belgium;WESTERN EUROPE;593;221;183;751;931;82293;1526;9749;344;44736;128;High
Switzerland;WESTERN EUROPE;588;195;145;89;955;84255;1357;9924;352;86007;105;High
Chile;LATIN AMER. & CARIB;562;28;9;792;851;79519;NaN;8789;NaN;12880;127;High
Bulgaria;EASTERN EUROPE;599;NaN;97;664;816;71528;1541;9099;514;10321;8885;High
Cyprus;NaN;419;218;36;743;887;81889;1903;9339;225;19714;114;High
Estonia;BALTICS;555;212;149;784;892;79155;1662;10072;165;23095;278;High
Greece;WESTERN EUROPE;515;249;51;756;888;80614;1838;9077;358;18169;113;High
Austria;WESTERN EUROPE;569;201;146;807;922;82412;13;9838;297;48426;116;High
Japan;ASIA (EX. NEAR EAST);605;43;153;NaN;919;8482;1336;10648;182;40662;104;High
